Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus
03/14/2022,11,OH,"22,132,255","971,900","8,323,340","12,837,015",0,"189,341","221,307","242,916","1,081,560","17,322,904","16,845,719","15,919,028","5,002,266","620,516","6,579,557","10,102,335","20,496","148,197","168,445","174,722","244,452","17,225,585","7,371,930",63.1,"7,118,865",71.2,"6,685,405",73.4,"1,889,859",92.4,"6,761,469",57.8,"6,543,231",65.4,"6,152,320",67.5,"1,782,791",87.1,"548,642","2,376,354","3,831,161","5,312","548,627","2,376,332","3,612,974","5,298","548,376","2,375,712","3,223,055","5,177","91,269","804,480","884,495","2,547","3,436,180",50.8,"3,435,426",52.5,"3,339,529",54.3,"2,272,570",65.2,"1,315,341",73.8,"1,464,445","1,913,137","57,822",776,"7,371,505",67,"6,761,429",61.5,"17,322,471","157,502","201,234","2,376,346","3,831,137","548,634","5,312"
03/14/2022,11,PW,"43,990","3,800","28,500","11,690",0,"204,301","235,935","265,272","2,208,330","46,792","44,450","40,912","4,891","2,347","35,993","8,372",80,"217,314","238,402","246,710","245,532","47,136","20,299",94.3,"18,939",95,"17,421",95,"1,860",93.4,"17,999",83.6,"17,015",91.3,"15,587",94,"1,789",89.8,"2,352","12,614","2,994",39,"2,352","12,614","2,010",39,"2,352","12,614",582,39,227,"1,526",34,2,"11,132",61.8,"11,131",65.4,"10,529",67.5,"4,520",76.1,"1,497",83.7,"10,336",796,0,0,"20,297",95,"17,998",88.3,"46,789","229,662","215,923","12,614","2,993","2,352",39
03/14/2022,11,LA,"7,957,490","320,100","3,243,520","4,393,870",0,"171,173","202,826","223,452","1,073,850","6,106,598","5,994,158","5,672,671","1,719,168","197,023","2,496,942","3,409,566","3,067","131,359","152,783","159,293","232,000","6,071,814","2,811,125",60.5,"2,743,593",69.9,"2,574,384",72.3,"674,638",91,"2,460,059",52.9,"2,414,555",61.5,"2,276,245",63.9,"635,051",85.7,"178,843","954,937","1,325,191","1,088","178,811","954,903","1,279,761","1,080","178,634","954,370","1,142,177","1,064","22,404","302,093","310,340",214,"943,933",38.4,"943,734",39.1,"927,995",40.8,"676,721",53.5,"403,161",63.5,"418,911","511,869","13,074",79,"2,810,831",64.7,"2,459,972",56.6,"6,106,211","140,459","183,043","954,922","1,325,142","178,822","1,086"
03/14/2022,11,CA,"86,611,625","3,692,000","30,971,420","51,948,205",0,"219,202","257,418","282,882","1,483,560","72,140,457","69,524,219","64,337,206","14,737,850","2,287,759","26,901,763","42,935,564","15,371","182,578","206,633","210,132","252,442","72,414,403","32,473,384",82.2,"31,029,186",92.2,"28,552,822",93.3,"5,985,845",95,"27,984,901",70.8,"26,811,838",79.7,"24,644,997",80.5,"5,193,724",89,"2,076,122","9,606,995","16,296,876","4,908","2,075,506","9,606,212","15,125,273","4,847","2,068,187","9,580,208","12,992,060","4,542","201,532","2,624,386","2,366,339","1,467","13,701,844",49,"13,699,994",51.1,"13,137,908",53.3,"7,304,037",64.2,"3,703,038",71.3,"5,929,289","7,555,580","216,438",537,"32,454,308",87.4,"27,975,795",75.3,"72,112,530","194,224","233,275","9,606,685","16,288,457","2,075,746","4,907"
03/14/2022,11,IN,"12,753,580","596,900","4,480,700","7,675,980",0,"189,441","223,549","246,959","1,174,640","9,260,610","9,026,855","8,497,897","2,614,516","303,184","3,337,514","5,589,857","30,055","137,557","158,226","164,553","240,804","9,272,375","4,099,418",60.9,"3,959,028",69.4,"3,702,937",71.7,"1,002,248",92.3,"3,655,400",54.3,"3,559,980",62.4,"3,340,801",64.7,"937,245",86.3,"279,862","1,245,100","2,122,147","8,291","279,833","1,245,054","2,026,840","8,253","279,555","1,244,706","1,808,411","8,129","30,978","458,227","444,166","3,874","1,627,003",44.5,"1,624,642",45.6,"1,576,248",47.2,"1,076,137",58,"631,089",67.3,"636,416","968,481","20,907","1,199","4,099,016",64.9,"3,655,322",57.9,"9,260,200","146,664","201,993","1,245,091","2,122,096","279,845","8,290"
03/14/2022,11,AL,"9,335,540","395,800","4,048,560","4,891,180",0,"190,397","222,971","244,714","1,098,510","6,132,079","6,027,243","5,726,247","1,838,211","175,703","2,671,285","3,284,607",484,"125,063","143,955","150,103","216,302","6,250,870","3,044,609",62.1,"2,982,207",71.2,"2,819,897",73.9,"809,881",95,"2,474,488",50.5,"2,434,615",58.1,"2,307,005",60.5,"690,323",81.2,"164,302","1,021,020","1,288,502",664,"164,291","1,021,000","1,248,660",664,"164,204","1,020,519","1,121,623",659,"36,873","366,515","286,513",422,"856,643",34.6,"856,539",35.2,"842,932",36.5,"639,370",47.5,"394,664",57.2,"422,647","418,564","15,341",91,"3,044,182",66.1,"2,474,424",53.7,"6,131,597","133,040","202,558","1,021,016","1,288,451","164,293",664
03/14/2022,11,MS,"5,340,435","224,600","2,152,680","2,963,155",0,"179,441","211,802","234,480","1,097,290","3,782,434","3,711,885","3,503,146","1,102,688","91,895","1,518,427","2,169,333","2,779","127,092","147,214","153,811","226,567","3,817,650","1,755,845",59,"1,715,881",68.1,"1,605,525",70.5,"443,938",91.2,"1,523,413",51.2,"1,493,055",59.2,"1,401,540",61.5,"405,816",83.4,"84,920","580,719","856,660","1,114","84,904","580,702","826,336","1,113","84,822","580,358","735,281","1,079","17,685","205,904","181,715",512,"550,784",36.2,"550,706",36.9,"541,690",38.6,"413,748",51.4,"248,117",61.1,"257,128","285,138","7,952",566,"1,755,683",62.9,"1,523,382",54.5,"3,782,256","135,435","191,230","580,711","856,648","84,909","1,114"
03/14/2022,11,MD,"15,132,610","601,500","5,157,300","9,373,810",0,"250,305","293,104","321,219","1,577,310","11,597,145","11,147,725","10,315,865","2,530,964","361,827","4,191,290","7,027,136","16,892","191,825","215,920","218,974","263,808","11,691,273","5,154,132",85.3,"4,911,185",95,"4,524,528",95,"996,494",95,"4,497,776",74.4,"4,292,719",83.1,"3,951,393",83.9,"897,106",93.5,"323,854","1,501,498","2,668,102","4,322","323,684","1,501,397","2,463,401","4,237","323,475","1,500,806","2,123,196","3,916","55,016","428,515","412,404","1,171","2,217,588",49.3,"2,216,937",51.6,"2,118,494",53.6,"1,295,323",65.8,"666,408",74.3,"932,591","1,249,627","34,662",708,"5,153,303",90.7,"4,497,644",79.1,"11,596,204","204,024","266,244","1,501,463","2,668,046","323,816","4,319"
03/14/2022,11,MH,"90,480","12,600","56,400","21,480",0,"116,386","157,716","190,368","2,424,440","57,853","55,391","50,493","3,062","2,730","47,286","7,835",2,"74,418","96,552","106,236","82,047","57,923","30,112",38.7,"28,342",49.4,"25,559",53.8,"1,454",39,"24,915",32,"24,235",42.2,"22,285",46.9,"1,269",34,"2,697","19,490","2,726",2,"2,694","19,482","2,057",2,"2,687","19,453",143,2,118,"1,149",2,0,"5,149",20.7,"5,149",21.2,"5,141",23.1,"1,708",32.1,448,35.3,"4,878",249,22,0,"30,095",43.5,"24,905",36,"57,827","83,567","130,755","19,485","2,722","2,696",2
03/14/2022,11,RI,"2,504,325","87,600","953,500","1,463,225",0,"236,400","270,011","292,949","1,338,880","2,144,985","2,077,015","1,946,025","529,103","65,015","815,038","1,263,310","1,622","202,479","223,939","227,641","282,873","2,287,154","1,026,378",95,"982,042",95,"915,153",95,"215,638",95,"859,352",81.1,"822,205",88.6,"763,980",89.4,"185,646",95,"60,195","288,457","510,301",399,"60,194","288,445","473,170",396,"60,167","288,324","415,095",394,"6,774","83,158","95,575",139,"446,647",52,"446,501",54.3,"430,029",56.3,"268,396",68.2,"142,287",76.6,"191,445","250,173","4,984",45,"1,026,248",95,"859,331",85.5,"2,144,864","213,453","249,226","288,453","510,286","60,194",398
